Sym,Number of atoms in a unit cell,"Valence electron number, Nv",Atomic Radius (Å),Density @ 293 K (g/cm³),First Ionization Potential (eV),Pauling electronegativity,Boiling Point (K),Bulk Modulus (GPa),Heat of Fusion (kJ/mol),Thermal Conductivity at 300K (W/cmK),Coeficient of Thermal Expansion (10^-6 K^-1)
Li,2,1,1.52,0.534,5.39,0.98,1620,11.6,3,0.847,56
Be,6,2,1.13,1.8477,9.32,1.57,3243,100.3,12.2,2,11.5
Na,2,1,1.54,0.971,5.14,0.93,1156.1,6.81,2.598,1.41,70.6
Mg,6,2,1.6,1.738,7.64,1.31,1363,35.4,8.954,1.56,26.1
Al,4,3,1.43,2.698,5.98,1.61,2740,72.2,10.79,2.37,23.03
Si,8,4,1.17,2.329,8.15,1.9,2628,98.9,50.55,1.48,4.2
K,2,1,2.27,0.862,4.34,0.82,1047,3.18,2.334,1.024,83
Ca,4,2,1.97,1.55,6.11,1,1757,15.2,8.54,2,22
Sc,6,3,1.61,2.989,6.56,1.36,3104,57.3,14.1,0.158,10
Ti,6,4,1.45,4.54,6.83,1.54,3560,105.1,15.45,0.219,8.35
V,2,5,1.32,6.11,6.74,1.63,3650,161.9,20.9,0.307,8.3
Cr,2,6,1.25,7.19,6.76,1.66,2945,190.3,16.9,0.937,6.2
Fe,2,8,1.24,7.874,7.9,1.83,3023,168.3,13.8,0.802,12.3
Co,6,9,1.25,8.9,7.86,1.88,3143,191.4,16.19,1,13.36
Ni,4,10,1.25,8.902,7.63,1.91,3005,186.3,17.47,0.907,13.3
Cu,4,11,1.28,8.96,7.72,1.9,2840,130.9,13.05,4.01,16.5
Zn,6,12,1.33,7.133,9.39,1.65,1180,59.8,7.322,1.16,25
Ge,8,4,1.23,5.323,7.88,2.01,3103,77.2,36.94,0.599,5.57
Rb,2,1,2.475,1.532,4.18,0.82,961,3.14,2.192,0.582,90
Sr,4,2,2,2.54,5.69,0.95,1657,11.6,8.3,0.353,23
Y,6,3,1.81,4.469,6.5,1.22,3611,36.6,11.4,0.172,10.6
Zr,6,4,1.6,6.506,6.95,1.33,4650,83.3,16.9,0.227,5.78
Nb,2,5,1.43,8.57,6.77,1.6,5015,170.2,26.4,0.537,7.07
Mo,2,6,1.36,10.22,7.18,2.16,4885,272.5,32,1.38,5.43
Ru,6,8,1.34,12.37,7.36,2.2,4173,348,24,1.17,9.1
Rh,4,9,1.34,12.41,7.46,2.28,4000,270.5,21.5,1.5,8.4
Pd,4,10,1.38,12.02,8.33,2.2,3413,180.8,17.6,0.718,11.2
Ag,4,11,1.44,10.5,7.57,1.93,2485,100.7,11.3,4.29,19.2
Cd,6,12,1.49,8.65,8.99,1.69,1038,46.74,6.192,0.968,29.8
Cs,2,1,2.654,1.873,3.89,0.79,951.6,2.03,2.092,0.359,97
Ba,2,2,2.17,3.594,5.21,0.89,1910,10.3,7.75,0.184,18.1
Hf,6,4,1.56,13.31,7,1.3,5470,108.9,24.06,0.23,5.9
Ta,2,5,1.43,16.654,7.88,1.5,5698,200.1,31.6,0.575,6.6
W,2,6,1.37,19.3,7.98,2.36,5930,323.2,35.4,1.74,4.59
Re,6,7,1.37,21.02,7.87,1.9,5900,371.7,33.2,0.479,6.63
Os,6,8,1.35,22.59,8.7,2.2,5300,462,31.8,0.876,4.3
Ir,4,9,1.36,22.56,9,2.2,4403,383,26.1,1.47,6.4
Pt,4,10,1.38,21.45,8.96,2.28,4100,278.3,19.6,0.716,9
Au,4,11,1.44,19.32,9.22,2.54,3080,173.2,12.55,3.17,14.16
Pb,4,4,1.75,11.35,7.41,2.33,2013,42.9,4.799,0.353,29.1
