EutecticComp,EutecticAngle,Radius1,Radius2
87.54219279,87.87,144,196
74.52849289,65.61,144,196
52.03022911,53.28,144,196
21.03272582,55.23,144,196
0,0,144,196
88.97499556,92.39,144,174
63.02394778,55.07,144,174
22.4903027,56.61,144,174
0,0,144,174
0,0,144,174
88.48169783,105.23,144,177
73.53124381,67.68,144,177
61.60041767,87.76,144,177
18.9989716,53.71,144,177
0,0,144,177
3.717118085,107.96,144,155
0,0,144,155
0,0,144,155
0,0,144,155
0,0,144,155
4.510387693,63.27,144,174
0,0,144,174
0,0,144,174
0,0,144,174
0,0,144,174
90.79072681,39.67,144,183
61.0088284,52.27,144,183
22.28468736,39.9,144,183
0,0,144,183
0,0,144,183
90.00848235,58.2,144,185
63.48350747,43.31,144,185
17.99338719,33.78,144,185
0,0,144,185
0,0,144,185
88.52058922,68.67,144,140
69.66264572,41.77,144,140
33.32250503,140.83,144,140
0,0,144,140
0,0,144,140
87.24306297,68.23,144,190
68.45785132,58.95,144,190
60.45842888,40.49,144,190
20.70701229,32,144,190
0,0,144,190
28.00496455,33.55,141,223
0,0,141,223
0,0,141,223
0,0,141,223
0,0,141,223
94.6823691,80.41,141,201
34.9932344,47.09,141,201
0,0,141,201
0,0,141,201
0,0,141,201
98.22541726,0,141,157
0,0,141,157
0,0,141,157
0,0,141,157
0,0,141,157
95.9443863,106.2,141,182
31.10901176,58.11,141,182
13.83837355,42.92,141,182
0,0,141,182
0,0,141,182
98.98081966,150.71,141,175
40.7856764,25.29,141,175
20.52723624,52.13,141,175
0,0,141,175
0,0,141,175
95.12465193,124.86,141,174
23.47370534,34.27,141,174
0,0,141,174
0,0,141,174
0,0,141,174
98.21474675,136.84,141,177
34.70627295,10.46,141,177
24.3411246,38.84,141,177
0,0,141,177
0,0,141,177
95.3145027,131.68,141,155
0,0,141,155
0,0,141,155
0,0,141,155
0,0,141,155
97.49079909,130,141,187
75.93454253,71.71,141,187
24.73319536,29.39,141,187
0,0,141,187
0,0,141,187
54.74746891,91.36,141,143
0,0,141,143
0,0,141,143
0,0,141,143
0,0,141,143
97.48964376,116,141,178
14.18788754,36.23,141,178
0,0,141,178
0,0,141,178
0,0,141,178
92.01482315,139.4,141,142
41.03886455,27.54,141,142
22.89151055,14.8,141,142
0,0,141,142
0,0,141,142
94.87592514,137.89,141,183
9.631413836,24.9,141,183
0,0,141,183
0,0,141,183
0,0,141,183
87.83503605,111.8,141,110
0,0,141,110
0,0,141,110
0,0,141,110
0,0,141,110
98.9922825,95.35,141,212
18.26916674,18.43,141,212
0,0,141,212
0,0,141,212
0,0,141,212
98.50423463,106.65,141,140
40.31971384,31.69,141,140
10.81467287,58.89,141,140
0,0,141,140
0,0,141,140
31.15916145,19.94,141,178
35.43928435,80.75,141,178
42.78577426,69.57,141,178
97.10618488,137.04,141,178
0,0,141,178
97.08597599,112.6,141,179
41.97206077,82.77,141,179
24.57873052,40.12,141,179
0,0,141,179
0,0,141,179
13.39684033,91.67,141,138
0,0,141,138
0,0,141,138
0,0,141,138
0,0,141,138
56.53553683,137.8,115,144
0,0,115,144
0,0,115,144
0,0,115,144
0,0,115,144
55.79848212,75.4,115,118
19.8211373,80.484,115,118
0,0,115,118
0,0,115,118
0,0,115,118
51.88827583,129.8,115,155
0,0,115,155
0,0,115,155
0,0,115,155
0,0,115,155
13.26657449,132.95,144,162
0,0,144,162
0,0,144,162
0,0,144,162
0,0,144,162
90.03272387,43.677,144,158
70.11232999,56.857,144,158
12.99520639,98.216,144,158
0,0,144,158
0,0,144,158
18.50933362,46.717,88,125
22.2942837,130.284,88,125
37.72154524,42.17,88,125
60.59152391,47.679,88,125
0,0,88,125
13.09754212,31.9,88,126
0,0,88,126
0,0,88,126
0,0,88,126
0,0,88,126
17.71119759,23.247,88,125
32.42612657,118.926,88,125
63.99511829,62.67,88,125
0,0,88,125
0,0,88,125
14.38277669,52.765,88,132
38.57766724,24.97,88,132
57.01680231,126.333,88,132
61.47850813,43.132,88,132
79.97093977,112.178,88,132
16.85681514,26,88,126
29.94892948,40.8,88,126
39.41276219,64.9,88,126
45.22394006,66.8,88,126
0,0,88,126
41.78126914,15.712,88,137
91.98882541,145.762,88,137
0,0,88,137
0,0,88,137
0,0,88,137
86.16316177,117.7,223,152
43.2647992,74,223,152
31.09165349,65.6,223,152
0,0,223,152
0,0,223,152
80.09519627,82,223,172
61.71986902,32,223,172
44.16125555,44,223,172
7.547500294,61,223,172
0,0,223,172
10.78600026,10.559,112,144
0,0,112,144
0,0,112,144
0,0,112,144
0,0,112,144
35.01576634,40.134,112,125
0,0,112,125
0,0,112,125
0,0,112,125
0,0,112,125
89.50475679,51.143,112,126
91.49826228,90,112,126
23.89810124,28.11,112,126
0,0,112,126
0,0,112,126
34.4456256,19.5,112,178
0,0,112,178
0,0,112,178
0,0,112,178
0,0,112,178
11.5811328,130.7,77,125
0,0,77,125
0,0,77,125
0,0,77,125
0,0,77,125
2.865236672,26.55,77,126
0,0,77,126
0,0,77,126
0,0,77,126
0,0,77,126
61.93597276,44.319,77,162
0,0,77,162
0,0,77,162
0,0,77,162
0,0,77,162
14.66084856,19.335,201,144
39.46613107,16.356,201,144
0,0,201,144
0,0,201,144
0,0,201,144
98.00406057,93.1,201,162
0,0,201,162
0,0,201,162
0,0,201,162
0,0,201,162
78.11697736,52.417,201,157
